design,workload,B,ctx,step_ms,tps_user,aggregate_tps,dram_util,mat_util,noc_util,fits,method
pulp_default_S,v4flash_kvfrac1.0,4,8192,26.1802,38.0,153.0,0.197,0.735,,False,analytical
pulp_default_S,v4flash_kvfrac1.0,4,32768,35.9738,28.0,111.0,0.144,0.583,,False,analytical
pulp_default_S,v4flash_kvfrac1.0,4,131072,75.1484,13.0,53.0,0.069,0.37,,False,analytical
pulp_scaled_S,v4flash_kvfrac1.0,1,8192,4.6711,214.0,214.0,0.587,0.097,,False,analytical
pulp_scaled_S,v4flash_kvfrac1.0,1,32768,4.9007,204.0,204.0,0.56,0.1,,False,analytical
pulp_scaled_S,v4flash_kvfrac1.0,1,131072,5.8188,172.0,172.0,0.473,0.112,,False,analytical
pulp_scaled_S,v4flash_kvfrac1.0,2,8192,6.1368,163.0,326.0,0.581,0.147,,False,analytical
pulp_scaled_S,v4flash_kvfrac1.0,2,32768,6.5959,152.0,303.0,0.541,0.149,,False,analytical
pulp_scaled_S,v4flash_kvfrac1.0,2,131072,8.4322,119.0,237.0,0.426,0.155,,False,analytical
pulp_scaled_S,v4flash_kvfrac1.0,4,8192,8.9751,111.0,446.0,0.575,0.201,,False,analytical
pulp_scaled_S,v4flash_kvfrac1.0,4,32768,9.8932,101.0,404.0,0.523,0.199,,False,analytical
pulp_scaled_S,v4flash_kvfrac1.0,4,131072,13.5659,74.0,295.0,0.384,0.192,,False,analytical
tensix_S,v4flash_kvfrac1.0,1,8192,3.5399,282.0,282.0,0.774,0.032,,False,analytical
tensix_S,v4flash_kvfrac1.0,1,32768,3.5705,280.0,280.0,0.768,0.034,,False,analytical
tensix_S,v4flash_kvfrac1.0,1,131072,3.6929,271.0,271.0,0.746,0.044,,False,analytical
tensix_S,v4flash_kvfrac1.0,2,8192,4.5917,218.0,436.0,0.777,0.049,,False,analytical
tensix_S,v4flash_kvfrac1.0,2,32768,4.6528,215.0,430.0,0.767,0.053,,False,analytical
tensix_S,v4flash_kvfrac1.0,2,131072,4.8975,204.0,408.0,0.734,0.067,,False,analytical
tensix_S,v4flash_kvfrac1.0,4,8192,6.6235,151.0,604.0,0.779,0.068,,False,analytical
tensix_S,v4flash_kvfrac1.0,4,32768,6.7459,148.0,593.0,0.766,0.073,,False,analytical
tensix_S,v4flash_kvfrac1.0,4,131072,7.2352,138.0,553.0,0.721,0.09,,False,analytical
pulp_default_M,v4flash_kvfrac1.0,1,8192,3.7765,265.0,265.0,0.363,0.637,,False,analytical
pulp_default_M,v4flash_kvfrac1.0,1,32768,5.0007,200.0,200.0,0.274,0.524,,False,analytical
pulp_default_M,v4flash_kvfrac1.0,1,131072,9.8975,101.0,101.0,0.139,0.351,,False,analytical
pulp_default_M,v4flash_kvfrac1.0,2,8192,6.9367,144.0,288.0,0.257,0.694,,False,analytical
pulp_default_M,v4flash_kvfrac1.0,2,32768,9.3851,107.0,213.0,0.19,0.558,,False,analytical
pulp_default_M,v4flash_kvfrac1.0,2,131072,19.1788,52.0,104.0,0.094,0.363,,False,analytical
pulp_default_M,v4flash_kvfrac1.0,4,8192,13.1391,76.0,304.0,0.196,0.732,,False,analytical
pulp_default_M,v4flash_kvfrac1.0,4,32768,18.0359,55.0,222.0,0.143,0.581,,False,analytical
pulp_default_M,v4flash_kvfrac1.0,4,131072,37.6232,27.0,106.0,0.069,0.37,,False,analytical
pulp_scaled_M,v4flash_kvfrac1.0,1,8192,1.9284,519.0,519.0,0.71,0.117,,False,analytical
pulp_scaled_M,v4flash_kvfrac1.0,1,32768,2.0431,489.0,489.0,0.671,0.12,,False,analytical
pulp_scaled_M,v4flash_kvfrac1.0,1,131072,2.5022,400.0,400.0,0.55,0.13,,False,analytical
pulp_scaled_M,v4flash_kvfrac1.0,2,8192,2.5241,396.0,792.0,0.706,0.179,,False,analytical
pulp_scaled_M,v4flash_kvfrac1.0,2,32768,2.7537,363.0,726.0,0.648,0.178,,False,analytical
pulp_scaled_M,v4flash_kvfrac1.0,2,131072,3.6718,272.0,545.0,0.489,0.178,,False,analytical
pulp_scaled_M,v4flash_kvfrac1.0,4,8192,3.6787,272.0,1087.0,0.701,0.245,,False,analytical
pulp_scaled_M,v4flash_kvfrac1.0,4,32768,4.1377,242.0,967.0,0.625,0.237,,False,analytical
pulp_scaled_M,v4flash_kvfrac1.0,4,131072,5.974,167.0,670.0,0.436,0.218,,False,analytical
tensix_M,v4flash_kvfrac1.0,1,8192,1.819,550.0,550.0,0.753,0.031,,False,analytical
tensix_M,v4flash_kvfrac1.0,1,32768,1.8343,545.0,545.0,0.748,0.033,,False,analytical
tensix_M,v4flash_kvfrac1.0,1,131072,1.8954,528.0,528.0,0.726,0.043,,False,analytical
tensix_M,v4flash_kvfrac1.0,2,8192,2.3448,426.0,853.0,0.76,0.048,,False,analytical
tensix_M,v4flash_kvfrac1.0,2,32768,2.3754,421.0,842.0,0.752,0.052,,False,analytical
tensix_M,v4flash_kvfrac1.0,2,131072,2.4978,400.0,801.0,0.719,0.065,,False,analytical
tensix_M,v4flash_kvfrac1.0,4,8192,3.3608,298.0,1190.0,0.768,0.067,,False,analytical
tensix_M,v4flash_kvfrac1.0,4,32768,3.4219,292.0,1169.0,0.755,0.072,,False,analytical
tensix_M,v4flash_kvfrac1.0,4,131072,3.6666,273.0,1091.0,0.711,0.089,,False,analytical
pulp_default_L,v4flash_kvfrac1.0,1,8192,2.5439,393.0,393.0,0.359,0.63,,False,analytical
pulp_default_L,v4flash_kvfrac1.0,1,32768,3.3601,298.0,298.0,0.272,0.52,,False,analytical
pulp_default_L,v4flash_kvfrac1.0,1,131072,6.6246,151.0,151.0,0.139,0.35,,False,analytical
pulp_default_L,v4flash_kvfrac1.0,2,8192,4.6567,215.0,429.0,0.255,0.689,,False,analytical
pulp_default_L,v4flash_kvfrac1.0,2,32768,6.289,159.0,318.0,0.189,0.556,,False,analytical
pulp_default_L,v4flash_kvfrac1.0,2,131072,12.8181,78.0,156.0,0.093,0.362,,False,analytical
pulp_default_L,v4flash_kvfrac1.0,4,8192,8.792,114.0,455.0,0.196,0.73,,False,analytical
pulp_default_L,v4flash_kvfrac1.0,4,32768,12.0566,83.0,332.0,0.143,0.58,,False,analytical
pulp_default_L,v4flash_kvfrac1.0,4,131072,25.1148,40.0,159.0,0.069,0.369,,False,analytical
pulp_scaled_L,v4flash_kvfrac1.0,1,8192,1.2806,781.0,781.0,0.713,0.117,,False,analytical
pulp_scaled_L,v4flash_kvfrac1.0,1,32768,1.3571,737.0,737.0,0.674,0.121,,False,analytical
pulp_scaled_L,v4flash_kvfrac1.0,1,131072,1.6632,601.0,601.0,0.552,0.131,,False,analytical
pulp_scaled_L,v4flash_kvfrac1.0,2,8192,1.6665,600.0,1200.0,0.713,0.18,,False,analytical
pulp_scaled_L,v4flash_kvfrac1.0,2,32768,1.8195,550.0,1099.0,0.654,0.18,,False,analytical
pulp_scaled_L,v4flash_kvfrac1.0,2,131072,2.4316,411.0,823.0,0.492,0.179,,False,analytical
pulp_scaled_L,v4flash_kvfrac1.0,4,8192,2.4143,414.0,1657.0,0.712,0.249,,False,analytical
pulp_scaled_L,v4flash_kvfrac1.0,4,32768,2.7203,368.0,1470.0,0.634,0.241,,False,analytical
pulp_scaled_L,v4flash_kvfrac1.0,4,131072,3.9446,254.0,1014.0,0.441,0.22,,False,analytical
tensix_L,v4flash_kvfrac1.0,1,8192,1.2453,803.0,803.0,0.733,0.03,,False,analytical
tensix_L,v4flash_kvfrac1.0,1,32768,1.2555,796.0,796.0,0.728,0.033,,False,analytical
tensix_L,v4flash_kvfrac1.0,1,131072,1.2963,771.0,771.0,0.708,0.042,,False,analytical
tensix_L,v4flash_kvfrac1.0,2,8192,1.5959,627.0,1253.0,0.745,0.047,,False,analytical
tensix_L,v4flash_kvfrac1.0,2,32768,1.6163,619.0,1237.0,0.736,0.051,,False,analytical
tensix_L,v4flash_kvfrac1.0,2,131072,1.6978,589.0,1178.0,0.705,0.064,,False,analytical
tensix_L,v4flash_kvfrac1.0,4,8192,2.2732,440.0,1760.0,0.757,0.066,,False,analytical
tensix_L,v4flash_kvfrac1.0,4,32768,2.314,432.0,1729.0,0.745,0.071,,False,analytical
tensix_L,v4flash_kvfrac1.0,4,131072,2.4771,404.0,1615.0,0.702,0.088,,False,analytical
pulp_default_S,v4flash_kvfrac0.25,1,8192,7.1416,140.0,140.0,0.383,0.626,,False,analytical
pulp_default_S,v4flash_kvfrac0.25,1,32768,9.4874,105.0,105.0,0.289,0.51,,False,analytical
pulp_default_S,v4flash_kvfrac0.25,1,131072,18.8709,53.0,53.0,0.146,0.334,,False,analytical
pulp_default_S,v4flash_kvfrac0.25,2,8192,12.7738,78.0,157.0,0.279,0.699,,False,analytical
pulp_default_S,v4flash_kvfrac0.25,2,32768,17.4655,57.0,115.0,0.204,0.554,,False,analytical
pulp_default_S,v4flash_kvfrac0.25,2,131072,36.2324,28.0,55.0,0.099,0.348,,False,analytical
pulp_default_S,v4flash_kvfrac0.25,4,8192,23.9487,42.0,167.0,0.215,0.746,,False,analytical
pulp_default_S,v4flash_kvfrac0.25,4,32768,33.3321,30.0,120.0,0.155,0.58,,False,analytical
